senate_117,ndistrict,SHAPE__Length,shape_leng,objectid,party,SHAPE__Area
"Charbonneau, Ed (5)",5,336842.407422664,336842.407804,1,Republican,2980082336.93044
"Landske, Sue (6)",6,358781.264459966,358781.264752,2,Republican,2936394326.52865
"Hershman, Brandt (7)",7,453272.253634595,453272.253902,3,Republican,4607205131.51091
"Mishler, Ryan (9)",9,274779.171213574,274779.171581,4,Republican,2019077138.56884
"Kruse, Dennis (14)",14,284639.982612926,284639.982313,5,Republican,2165376734.61747
"Wyss, Thomas (15)",15,113830.477347838,113830.476939,6,Republican,160675829.652907
"Banks, Jim (17)",17,291021.923354013,291021.923087,7,Republican,3382648862.68541
"Head, Randall (18)",18,339956.556763563,339956.556772,8,Republican,4422078450.17943
"Holdman, Travis (19)",19,297548.820776989,297548.820717,9,Republican,2933188332.63478
"Kenley, Luke (20)",20,265398.422962311,265398.422615,10,Republican,1483280554.70691
"Buck, Jim (21)",21,261329.390624852,261329.389987,11,Republican,1269270895.75569
"Boots, Phil (23)",23,395559.084568504,395559.084133,12,Republican,4245955789.88441
"Lawson, Connie (24)",24,216044.904872874,216044.904626,13,Republican,1615427379.77825
"Paul, Allen (27)",27,263560.835023254,263560.835061,14,Republican,3214874646.95388
"Gard, Beverly (28)",28,235013.277601249,235013.277728,15,Republican,1909165191.24228
"Delph, Mike (29)",29,112280.553560823,112280.553637,16,Republican,210927427.973719
"Schneider, Scott (30)",30,88806.6802702709,88806.6801408,17,Republican,138888781.02746
"Merritt, Jr., James (31)",31,98333.3659212684,98333.365872,18,Republican,132674571.37018
"Taylor, Greg (33)",33,82461.8632690955,82461.8633877,19,Democrat,97335036.5113439
"Young, R. Michael (35)",35,131917.840819067,131917.841231,20,Republican,251481480.539551
"Bray, Richard (37)",37,299650.186652693,299650.18617,21,Republican,2784802504.33518
"Skinner, Timothy (38)",38,405425.892491679,405425.892159,22,Democrat,3190318404.0607
"Waterman, John (39)",39,516683.394933016,516683.394551,23,Republican,5046722275.1996
"Walker, Greg (41)",41,207136.801315284,207136.800904,24,Republican,1433245354.29518
"Leising, Jean (42)",42,306087.461481627,306087.461021,25,Republican,4032574647.21857
"Nugent, Johnny (43)",43,368364.036466846,368364.036706,26,Republican,3879537481.05014
"Steele, Brent (44)",44,359836.524491215,359836.524244,27,Republican,4136165125.31742
"Smith, Jim (45)",45,407285.073844718,407285.073243,28,Democrat,3720772960.69637
"Young, Jr., Richard (47)",47,509170.684894366,509170.685166,29,Democrat,5295343328.48051
"Hume, Lindel (48)",48,559505.358580122,559505.357788,30,Democrat,5440415097.4825
"Tomes, Jim (49)",49,394432.223112603,394432.222788,31,Republican,1702915358.47491
"Becker, Vaneta (50)",50,199315.523904327,199315.523499,32,Republican,798197497.254591
"Lanane, Timothy (25)",25,151480.41592996,151480.416241,33,Democrat,787743691.120427
"Mrvan, Frank (1)",1,86054.7169543322,86054.7172274,34,Democrat,103647228.097689
"Rogers, Earline (3)",3,139286.719348668,139286.719188,35,Democrat,467198438.652772
"Arnold, Jim (8)",8,182192.820998677,182192.821334,36,Democrat,1425114830.6507
"Broden, John (10)",10,64233.8055062358,64233.8060123,37,Democrat,83331703.3897872
"Miller, Patricia (32)",32,91020.4432994748,91020.4422285,38,Republican,356864145.857389
"Yoder, Carlin (12)",12,153601.611166989,153601.611067,39,Republican,863753274.11037
"Glick, Susan C. (13)",13,250274.969659233,250274.969336,40,Republican,2752262890.20241
"Randolph, Lonnie M (2)",2,119228.611011654,119228.610726,41,Democrat,174571433.765775
"Tallian, Karen (4)",4,196430.644541322,196430.644492,42,Democrat,857885642.898136
"Waltz, Brent (36)",36,81307.4601631022,81307.4599753,43,Republican,144447716.468974
"Long, David (16)",16,108135.413607864,108135.413384,44,Republican,304038040.319944
"Alting, Ron (22)",22,166736.720310858,166736.72037,45,Republican,1074800233.72837
"Eckerty, Doug (26)",26,144546.133616984,144546.133672,46,Republican,1089650680.94084
"Breaux, Jean D. (34)",34,70879.711452821,70879.7113978,47,Democrat,77458105.9553756
"Zakas, Joseph (11)",11,105695.340958717,105695.340771,48,Republican,282750792.998981
"Simpson, Vi (40)",40,196482.377587702,196482.377492,49,Democrat,1335047572.78881
"Grooms, Ron (46)",46,115142.286453833,115142.285671,50,Republican,447660145.346978
