name,party,district_type,district_number,counties,county_count
Chloe Andis,D,Senate District,15,Allen,1
Tiffanie Arthur,D,House District,63,"Daviess, Dubois, Martin, Pike",4
Reece Axel-Adams,D,House District,53,"Hancock, Madison",2
Natasha Baker,D,Senate District,22,"Carroll, Tippecanoe",2
John E Bartlett,D,House District,33,"Blackford, Delaware, Henry, Jay, Randolph",5
Racheal Bleicher,D,House District,24,"Boone, Hamilton",2
Sarah Blessing,D,House District,70,"Clark, Floyd, Harrison, Washington",4
Chris Bowen,D,House District,69,"Bartholomew, Jackson, Scott, Washington",4
Sally Busby,D,House District,78,"Vanderburgh, Warrick",2
Cindi Clayton,D,Senate District,49,"Posey, Vanderburgh",2
Hunter B Collins,D,House District,68,"Dearborn, Jefferson, Ohio, Switzerland",4
William Colteryahn,D,House District,40,Hendricks,1
Andrew Dale,D,Senate District,26,"Delaware, Randolph",2
Tamie Dixon-Tatum,D,Senate District,25,"Hamilton, Madison",2
Suzanne Fortenberry,D,House District,57,"Hendricks, Johnson, Morgan",3
Brenna Geswein,D,House District,13,"Benton, Fountain, Jasper, Montgomery, Newton, Tippecanoe, Warren, White",8
Phil G. Gift,D,House District,35,"Delaware, Madison",2
Lindsay Gramlich,D,House District,39,Hamilton,1
"David W Greene, Sr",D,Senate District,29,"Boone, Hamilton, Marion",3
Candace (Candy) Greer,D,House District,64,"Gibson, Knox, Vanderburgh",3
Sara Gullion,D,House District,34,Delaware,1
Ashley Hammac,D,House District,16,"Jasper, Pulaski, Starke, White",4
Demetrice Hicks,D,Senate District,29,"Boone, Hamilton, Marion",3
Bradley (Brad) Hochgesang,D,Senate District,48,"Crawford, Dubois, Gibson, Perry, Pike, Spencer",6
Byron E. Holland,D,Senate District,43,"Dearborn, Jefferson, Jennings, Ohio, Scott, Switzerland",6
Kate-Lynn Holley,D,Senate District,6,"Benton, Jasper, Lake, Newton",4
Amy Huffman Oliver,D,House District,62,"Brown, Jackson, Monroe",3
Jarren Hurt,D,House District,91,Marion,1
Kelsey Kauffman,D,House District,44,"Montgomery, Putnam",2
Coumba Kebe,D,House District,29,Hamilton,1
Ryan Kominakis,D,House District,4,Porter,1
Adam Mann,D,House District,63,"Daviess, Dubois, Martin, Pike",4
Nick Marshall,D,Senate District,45,"Clark, Floyd",2
Victoria C. Martz,D,House District,55,"Decatur, Fayette, Franklin, Ripley, Rush, Union",6
Austin D. Meives,D,House District,23,"Cass, Miami",2
Allen J. (A.J.) Miller,D,House District,73,"Bartholomew, Decatur, Jennings, Shelby",4
Kristina Moorhead,D,Senate District,29,"Boone, Hamilton, Marion",3
Timothy C. Murphy,D,Senate District,19,"Adams, Allen, Blackford, Jay, Wells",5
Logan A. Patberg,D,House District,76,"Posey, Vanderburgh",2
Matt Pierce,D,House District,61,Monroe,1
"James H. Pittsford (Jimmy), III",D,House District,46,"Clay, Monroe, Owen, Vigo",4
Michael E Potter,D,House District,47,"Johnson, Shelby",2
Ryan Price,D,House District,66,"Clark, Jefferson, Scott",3
Ian G. Richardson,D,House District,79,"Adams, Jay, Wells",3
Kirsten Root,D,Senate District,21,"Hamilton, Howard, Tipton",3
David A Sanders,D,Senate District,23,"Fountain, Montgomery, Parke, Tippecanoe, Vermillion, Warren",6
Blaine Sefton,D,Senate District,14,"Allen, DeKalb",2
Tiffany Stoner,D,House District,25,"Boone, Hendricks",2
Nate Stout,D,House District,38,"Carroll, Cass, Clinton, Howard, Tippecanoe, Tipton",6
Ethan Sweetland-May,D,Senate District,47,"Floyd, Harrison, Washington",3
Carrie L. Syczylo,D,House District,60,"Johnson, Monroe, Morgan",3
Ross Thomas,D,Senate District,41,"Bartholomew, Johnson",2
Devon Wellington,D,House District,29,Hamilton,1
Karen Whitney,D,House District,28,"Boone, Hendricks, Montgomery",3
Sharon L Wight,D,House District,81,Allen,1
Stephanie Jo Yocum,D,House District,88,"Hamilton, Hancock, Madison, Marion",4
Shelli Yoder,D,Convention Delegate,District 2,Monroe,1
Maria Yuquilima,,NOT FOUND,,,
